goos: linux
goarch: amd64
pkg: gol-wildfire/internal/bench
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSnapshotSerie/format=proto/cache=0-24          	      38	  32326051 ns/op	         0 %evites	       201.0 snapshots/op	   62553 B/op	    1207 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=0-24          	      38	  31419000 ns/op	         0 %evites	       201.0 snapshots/op	   62553 B/op	    1207 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=1-24          	      32	  37456956 ns/op	         0 %evites	       201.0 snapshots/op	   63726 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=1-24          	      31	  38060754 ns/op	         0 %evites	       201.0 snapshots/op	   63964 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=1-24          	      32	  36768452 ns/op	         0 %evites	       201.0 snapshots/op	   63731 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=1-24          	      31	  36544915 ns/op	         0 %evites	       201.0 snapshots/op	   63964 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=1-24          	      31	  38001779 ns/op	         0 %evites	       201.0 snapshots/op	   63970 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=1-24          	      33	  37240226 ns/op	         0 %evites	       201.0 snapshots/op	   63503 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=8-24          	      32	  37808307 ns/op	         0 %evites	       201.0 snapshots/op	   63782 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=8-24          	      32	  38146231 ns/op	         0 %evites	       201.0 snapshots/op	   63782 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=8-24          	      33	  37617862 ns/op	         0 %evites	       201.0 snapshots/op	   63558 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=8-24          	      30	  37211294 ns/op	         0 %evites	       201.0 snapshots/op	   56628 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=8-24          	      32	  38388044 ns/op	         0 %evites	       201.0 snapshots/op	   63782 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=8-24          	      31	  37282360 ns/op	         0 %evites	       201.0 snapshots/op	   64020 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=12-24         	      76	  14408600 ns/op	        72.64 %evites	       201.0 snapshots/op	   15646 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=12-24         	      86	  14359082 ns/op	        72.64 %evites	       201.0 snapshots/op	   18303 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=12-24         	      87	  14210014 ns/op	        72.64 %evites	       201.0 snapshots/op	   18272 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=12-24         	      91	  14201897 ns/op	        72.64 %evites	       201.0 snapshots/op	   18153 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=12-24         	      86	  14067287 ns/op	        72.64 %evites	       201.0 snapshots/op	   18303 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=12-24         	      84	  14023101 ns/op	        72.64 %evites	       201.0 snapshots/op	   15638 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=16-24         	      85	  14421308 ns/op	        72.64 %evites	       201.0 snapshots/op	   15669 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=16-24         	      87	  14201737 ns/op	        72.64 %evites	       201.0 snapshots/op	   19153 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=16-24         	      78	  14192939 ns/op	        72.64 %evites	       201.0 snapshots/op	   15676 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=16-24         	      86	  14404512 ns/op	        72.64 %evites	       201.0 snapshots/op	   18335 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=16-24         	      84	  14367512 ns/op	        72.64 %evites	       201.0 snapshots/op	   15670 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=16-24         	      86	  14317492 ns/op	        72.64 %evites	       201.0 snapshots/op	   18335 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=32-24         	      84	  14139226 ns/op	        72.64 %evites	       201.0 snapshots/op	   18529 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=32-24         	      82	  14049305 ns/op	        72.64 %evites	       201.0 snapshots/op	   15800 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=32-24         	      84	  14046116 ns/op	        72.64 %evites	       201.0 snapshots/op	   18529 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=32-24         	      84	  13981350 ns/op	        72.64 %evites	       201.0 snapshots/op	   18529 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=32-24         	      82	  14145224 ns/op	        72.64 %evites	       201.0 snapshots/op	   15800 B/op	     332 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=32-24         	      84	  14186898 ns/op	        72.64 %evites	       201.0 snapshots/op	   18529 B/op	     332 allocs/op
PASS
ok  	gol-wildfire/internal/bench	115.289s
