goos: linux
goarch: amd64
pkg: gol-wildfire/internal/bench
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkStoreRequete/index=sans-index/empreintes=unique/lignes=500000-24      	     142	   8276827 ns/op	     478 B/op	       7 allocs/op
BenchmarkStoreRequete/index=sans-index/empreintes=unique/lignes=500000-24      	     144	   8241127 ns/op	     477 B/op	       7 allocs/op
BenchmarkStoreRequete/index=avec-index/empreintes=unique/lignes=500000-24      	    5485	    184199 ns/op	     484 B/op	       7 allocs/op
BenchmarkStoreRequete/index=avec-index/empreintes=unique/lignes=500000-24      	    5730	    175747 ns/op	     483 B/op	       7 allocs/op
BenchmarkStoreRequete/index=avec-index/empreintes=unique/lignes=500000-24      	    7209	    173856 ns/op	     484 B/op	       7 allocs/op
BenchmarkStoreRequete/index=avec-index/empreintes=unique/lignes=500000-24      	    5785	    173672 ns/op	     485 B/op	       7 allocs/op
BenchmarkStoreRequete/index=avec-index/empreintes=unique/lignes=500000-24      	    7104	    177153 ns/op	     484 B/op	       7 allocs/op
BenchmarkStoreRequete/index=avec-index/empreintes=unique/lignes=500000-24      	    6807	    184760 ns/op	     483 B/op	       7 allocs/op
BenchmarkStoreRequete/index=sans-index/empreintes=repetee/lignes=200-24        	    7398	    164079 ns/op	     483 B/op	       7 allocs/op
BenchmarkStoreRequete/index=sans-index/empreintes=repetee/lignes=200-24        	    7387	    166303 ns/op	     484 B/op	       7 allocs/op
BenchmarkStoreRequete/index=sans-index/empreintes=repetee/lignes=200-24        	    7111	    161696 ns/op	     483 B/op	       7 allocs/op
BenchmarkStoreRequete/index=sans-index/empreintes=repetee/lignes=200-24        	    7780	    155263 ns/op	     484 B/op	       7 allocs/op
BenchmarkStoreRequete/index=sans-index/empreintes=repetee/lignes=200-24        	    7010	    158469 ns/op	     484 B/op	       7 allocs/op
BenchmarkStoreRequete/index=sans-index/empreintes=repetee/lignes=200-24        	    7683	    155891 ns/op	     483 B/op	       7 allocs/op
BenchmarkStoreRequete/index=avec-index/empreintes=repetee/lignes=200-24        	    7395	    161387 ns/op	     484 B/op	       7 allocs/op
BenchmarkStoreRequete/index=avec-index/empreintes=repetee/lignes=200-24        	    7336	    158522 ns/op	     483 B/op	       7 allocs/op
BenchmarkStoreRequete/index=avec-index/empreintes=repetee/lignes=200-24        	    8077	    164545 ns/op	     483 B/op	       7 allocs/op
BenchmarkStoreRequete/index=avec-index/empreintes=repetee/lignes=200-24        	    7708	    157729 ns/op	     483 B/op	       7 allocs/op
BenchmarkStoreRequete/index=avec-index/empreintes=repetee/lignes=200-24        	    8080	    167860 ns/op	     483 B/op	       7 allocs/op
BenchmarkStoreRequete/index=avec-index/empreintes=repetee/lignes=200-24        	    8095	    160350 ns/op	     483 B/op	       7 allocs/op
BenchmarkStoreRequete/index=sans-index/empreintes=repetee/lignes=20000-24      	    1850	    644410 ns/op	     482 B/op	       7 allocs/op
BenchmarkStoreRequete/index=sans-index/empreintes=repetee/lignes=20000-24      	    1888	    624347 ns/op	     485 B/op	       7 allocs/op
BenchmarkStoreRequete/index=sans-index/empreintes=repetee/lignes=20000-24      	    1964	    635401 ns/op	     485 B/op	       7 allocs/op
BenchmarkStoreRequete/index=sans-index/empreintes=repetee/lignes=20000-24      	    1932	    638946 ns/op	     483 B/op	       7 allocs/op
BenchmarkStoreRequete/index=sans-index/empreintes=repetee/lignes=20000-24      	    1996	    622366 ns/op	     484 B/op	       7 allocs/op
BenchmarkStoreRequete/index=sans-index/empreintes=repetee/lignes=20000-24      	    1852	    636005 ns/op	     483 B/op	       7 allocs/op
BenchmarkStoreRequete/index=avec-index/empreintes=repetee/lignes=20000-24      	    3938	    307200 ns/op	     484 B/op	       7 allocs/op
BenchmarkStoreRequete/index=avec-index/empreintes=repetee/lignes=20000-24      	    3873	    300774 ns/op	     483 B/op	       7 allocs/op
BenchmarkStoreRequete/index=avec-index/empreintes=repetee/lignes=20000-24      	    4060	    301943 ns/op	     483 B/op	       7 allocs/op
BenchmarkStoreRequete/index=avec-index/empreintes=repetee/lignes=20000-24      	    4224	    299829 ns/op	     484 B/op	       7 allocs/op
BenchmarkStoreRequete/index=avec-index/empreintes=repetee/lignes=20000-24      	    4209	    298257 ns/op	     484 B/op	       7 allocs/op
BenchmarkStoreRequete/index=avec-index/empreintes=repetee/lignes=20000-24      	    3806	    301103 ns/op	     483 B/op	       7 allocs/op
BenchmarkStoreRequete/index=sans-index/empreintes=repetee/lignes=500000-24     	     134	   8686540 ns/op	     498 B/op	       7 allocs/op
BenchmarkStoreRequete/index=sans-index/empreintes=repetee/lignes=500000-24     	     138	   8870263 ns/op	     479 B/op	       7 allocs/op
BenchmarkStoreRequete/index=sans-index/empreintes=repetee/lignes=500000-24     	     135	   8824108 ns/op	     480 B/op	       7 allocs/op
BenchmarkStoreRequete/index=sans-index/empreintes=repetee/lignes=500000-24     	     130	   8753737 ns/op	     483 B/op	       7 allocs/op
BenchmarkStoreRequete/index=sans-index/empreintes=repetee/lignes=500000-24     	     133	   8697643 ns/op	     481 B/op	       7 allocs/op
BenchmarkStoreRequete/index=sans-index/empreintes=repetee/lignes=500000-24     	     136	   8798725 ns/op	     480 B/op	       7 allocs/op
BenchmarkStoreRequete/index=avec-index/empreintes=repetee/lignes=500000-24     	     277	   4572780 ns/op	     479 B/op	       7 allocs/op
BenchmarkStoreRequete/index=avec-index/empreintes=repetee/lignes=500000-24     	     244	   4643617 ns/op	     487 B/op	       7 allocs/op
BenchmarkStoreRequete/index=avec-index/empreintes=repetee/lignes=500000-24     	     270	   4560933 ns/op	     480 B/op	       7 allocs/op
BenchmarkStoreRequete/index=avec-index/empreintes=repetee/lignes=500000-24     	     271	   4462474 ns/op	     480 B/op	       7 allocs/op
BenchmarkStoreRequete/index=avec-index/empreintes=repetee/lignes=500000-24     	     267	   4634750 ns/op	     481 B/op	       7 allocs/op
BenchmarkStoreRequete/index=avec-index/empreintes=repetee/lignes=500000-24     	     270	   4461315 ns/op	     480 B/op	       7 allocs/op
PASS
ok  	gol-wildfire/internal/bench	157.148s
